Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Ning et al. 2018,10.1088/1758-5090/aacd30,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,298.04,,1000000,,22,4,Y,N,N,Y,N,N,Y,N,S,Not_Primary,95.5,Y,Y
Ning et al. 2018,10.1088/1758-5090/aacd30,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1080,0,30,9,,,0,200,296.7,,1000000,,22,10,Y,N,N,Y,N,N,N,N,S,Not_Primary,97.8,Y,Y
Kesti et al. 2015,10.1016/j.actbio.2014.09.033,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,20,22.5,0,20,13.33333333,,,0,410,,,6000000,22,4,0,Y,Y,N,N,N,N,N,N,S,Primary,98,Y,Y
Kesti et al. 2015,10.1016/j.actbio.2014.09.033,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,20,22.5,0,20,13.33333333,,,0,410,,,6000000,22,4,0.125,Y,Y,N,N,N,N,N,N,S,Primary,80,Y,Y
Kesti et al. 2015,10.1016/j.actbio.2014.09.033,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,20,22.5,0,20,13.33333333,,,0,410,,,6000000,22,4,4,Y,Y,N,N,N,N,N,N,S,Primary,97,Y,Y
Kesti et al. 2015,10.1016/j.actbio.2014.09.033,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,20,22.5,0,20,13.33333333,,,0,410,,,6000000,22,4,7,Y,Y,N,N,N,N,N,N,S,Primary,97,Y,Y
Markstedt et al. 2015,10.1021/acs.biomac.5b00188,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,90,0,0,0,600,0,40,,,5,0,300,,1200,15000000,,22,1,N,Y,N,N,N,N,N,N,S,Primary,72.7,N,N
Markstedt et al. 2015,10.1021/acs.biomac.5b00188,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,90,0,0,0,600,0,40,,,5,0,300,443.96,1200,15000000,,22,7,N,Y,N,N,N,N,N,N,S,Primary,84.6,Y,Y
Shim et al. 2012,10.1088/0960-1317/22/8/085014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,624.48,750,1000000,,22,1,Y,N,N,N,N,N,N,N,S,Not_Primary,93.9,Y,Y
Shim et al. 2012,10.1088/0960-1317/22/8/085014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,68.27,750,1000000,,22,7,Y,N,N,N,N,N,N,N,S,Not_Primary,95.2,Y,Y
Shim et al. 2012,10.1088/0960-1317/22/8/085014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,611.93,750,1000000,,22,1,Y,N,N,N,N,N,N,N,S,Primary,89.5,Y,Y
Shim et al. 2012,10.1088/0960-1317/22/8/085014,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,145,0,0,600,0,,0.01,,,0,250,595.83,750,1000000,,22,7,Y,N,N,N,N,N,N,N,S,Primary,93.6,Y,Y
He et al. 2016,10.1038/srep29977,2.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,300,0,,,,,0,400,,,100000,37,5,1,Y,Y,N,N,N,N,N,N,C,Not_Primary,92,Y,Y
He et al. 2016,10.1038/srep29977,2.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,300,0,,,,,0,400,,,100000,37,5,4,Y,Y,N,N,N,N,N,N,C,Not_Primary,81,Y,Y
He et al. 2016,10.1038/srep29977,2.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,300,0,,,,,0,400,,,100000,37,5,7,Y,Y,N,N,N,N,N,N,C,Not_Primary,60.3,N,N
Daly et al. 2016,10.1088/1758-5090/8/4/045002,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,900,0,200,,,,0,260,,,20000000,21,,28,N,Y,N,Y,N,N,N,N,S,Primary,74,N,N
Daly et al. 2016,10.1088/1758-5090/8/4/045002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,900,0,200,,,,0,260,,,20000000,37,,28,N,Y,N,N,N,N,N,N,S,Primary,77.1,N,N
Daly et al. 2016,10.1088/1758-5090/8/4/045002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1800,900,140,,,,0,260,,,20000000,21,,28,N,N,N,N,N,Y,N,N,S,Primary,72.4,N,N
Daly et al. 2016,10.1088/1758-5090/8/4/045002,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,900,60,,,,0,260,,,20000000,28,,28,N,Y,N,Y,N,Y,N,N,S,Primary,78,N,N
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,1.333,0,250,,,500000,,22,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,97.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,1.333,0,250,,,500000,,22,2,N,Y,N,N,N,Y,N,N,S,Not_Primary,98,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,1.333,0,250,,,500000,,22,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,98,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,2,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,97.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,1.333,0,250,,,500000,,22,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,97.6,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,1.333,0,250,,,500000,,22,2,N,Y,N,N,N,Y,N,N,S,Not_Primary,95.7,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,1.333,0,250,,,500000,,22,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,2,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,96.3,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,1,N,Y,N,N,N,Y,N,N,S,Not_Primary,98.1,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,2,N,Y,N,N,N,Y,N,N,S,Not_Primary,95.4,Y,Y
Kirillova et al. 2017,10.1002/adma.201703443,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,,,,0.6667,0,250,,,500000,,22,7,N,Y,N,N,N,Y,N,N,S,Not_Primary,95.4,Y,Y
Yang et al. 2018,10.1021/acsami.7b16059,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,0,260,,,10000000,,,14,Y,N,N,N,N,N,N,N,S,Primary,71.9,N,N
Yang et al. 2018,10.1021/acsami.7b16059,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,0,0,0,,0,,,,,0,260,,,10000000,,,14,Y,N,N,N,N,N,N,N,S,Primary,77.8,N,N
Yang et al. 2018,10.1021/acsami.7b16059,10,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,,,,0,260,,,10000000,,,14,Y,N,N,N,N,N,N,N,S,Primary,91.2,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,900,0,,,,,0,1200,,,30000000,,,3,N,Y,N,Y,N,N,N,N,S,Not_Primary,89.3,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,900,0,,,,,0,1200,,,30000000,,,9,N,Y,N,Y,N,N,N,N,S,Not_Primary,91,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,900,0,,,,,0,1200,,,30000000,,,3,N,Y,N,Y,N,N,N,N,S,Not_Primary,93.2,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,900,0,,,,,0,1200,,,30000000,,,9,N,Y,N,Y,N,N,N,N,S,Not_Primary,93,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1200,,,30000000,,,3,N,Y,N,N,N,N,N,N,S,Not_Primary,90.4,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1200,,,30000000,,,9,N,Y,N,N,N,N,N,N,S,Not_Primary,95,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1200,,,30000000,,,3,N,Y,N,N,N,N,N,N,S,Not_Primary,91.3,Y,Y
Demirtaş et al. 2017,10.1088/1758-5090/aa7b1d,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,1200,,,30000000,,,9,N,Y,N,N,N,N,N,N,S,Not_Primary,94.5,Y,Y
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,774.06,700,700000,,,21,Y,N,N,N,N,N,N,N,C,Primary,76,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,666.599,700,700000,,,7,Y,N,N,N,N,N,N,N,C,Primary,66.4,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,,700,700000,,,1,Y,N,N,N,N,N,N,N,C,Primary,68,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,,700,700000,,,1,Y,N,N,N,N,N,N,N,C,Primary,68.3,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,708.89,700,700000,,,7,Y,N,N,N,N,N,N,N,C,Primary,66.8,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,910.8,700,700000,,,21,Y,N,N,N,N,N,N,N,C,Primary,76.7,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,342.708,700,700000,,,1,Y,N,N,N,N,N,N,N,C,Primary,53.7,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,333.28,700,700000,,,7,Y,N,N,N,N,N,N,N,C,Primary,49.5,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,,700,700000,,,21,Y,N,N,N,N,N,N,N,C,Primary,43.9,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,362.06,700,700000,,,1,Y,N,N,N,N,N,N,N,C,Primary,46.8,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,348.62,700,700000,,,7,Y,N,N,N,N,N,N,N,C,Primary,46.3,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,,700,700000,,,21,Y,N,N,N,N,N,N,N,C,Primary,44.4,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,,700,700000,,,1,Y,N,N,N,N,N,N,N,C,Primary,58.6,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,,700,700000,,,7,Y,N,N,N,N,N,N,N,C,Primary,67.1,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,871.1,700,700000,,,21,Y,N,N,N,N,N,N,N,C,Primary,45.8,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,336.12,700,700000,,,1,Y,N,N,N,N,N,N,N,C,Primary,49.4,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,366.04,700,700000,,,7,Y,N,N,N,N,N,N,N,C,Primary,46.7,N,N
Kilian et al. 2020,10.1038/s41598-020-65050-9,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,100,0,0,0,600,0,90,,,10,0,410,903.52,700,700000,,,21,Y,N,N,N,N,N,N,N,C,Primary,41.2,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,223.36,,2000000,22,15,0,Y,N,N,N,N,Y,N,N,C,Primary,70,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,,,2000000,22,15,1,Y,N,N,N,N,Y,N,N,C,Primary,75,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,486.18,,2000000,22,15,3,Y,N,N,N,N,Y,N,N,C,Primary,77.5,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,,,2000000,22,15,5,Y,N,N,N,N,Y,N,N,C,Primary,77.5,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,,,2000000,22,15,7,Y,N,N,N,N,Y,N,N,C,Primary,81,Y,Y
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,238.61,,2000000,22,15,0,Y,N,N,N,N,Y,N,N,C,Primary,61,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,,,2000000,22,15,1,Y,N,N,N,N,Y,N,N,C,Primary,66,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,519.54,,2000000,22,15,3,Y,N,N,N,N,Y,N,N,C,Primary,75.5,N,N
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,,,2000000,22,15,5,Y,N,N,N,N,Y,N,N,C,Primary,81,Y,Y
Kolesky et al. 2014,10.1002/adma.201305506,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,275.8,,,5.5,0,200,,,2000000,22,15,7,Y,N,N,N,N,Y,N,N,C,Primary,82,Y,Y
Duan et al. 2013,10.1002/jbm.a.34420,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,,,,5,0,800,1001.65,,10000000,,22,7,N,N,N,Y,N,N,N,N,S,Primary,84.6,Y,Y
Duan et al. 2013,10.1002/jbm.a.34420,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,,,,5,0,800,1001.65,,10000000,,22,7,N,N,N,Y,N,N,N,N,S,Primary,81.4,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,2,,,0,500,,,1500000,,22,1,N,N,N,Y,N,N,N,N,S,Not_Primary,90.6,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,2,,,0,500,,,1500000,,22,1,N,N,N,Y,N,N,N,N,S,Not_Primary,85.7,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,2,,,0,500,,,1500000,,22,1,N,N,N,Y,N,N,N,N,S,Not_Primary,68.2,N,N
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,2,,,0,500,,,1500000,,22,4,N,N,N,Y,N,N,N,N,S,Not_Primary,83.9,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,2,,,0,500,,,1500000,,22,4,N,N,N,Y,N,N,N,N,S,Not_Primary,94.1,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,2,,,0,500,,,1500000,,22,4,N,N,N,Y,N,N,N,N,S,Not_Primary,96.9,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,2,,,0,500,498.2,,1500000,,22,8,N,N,N,Y,N,N,N,N,S,Not_Primary,90.3,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,2,,,0,500,466.5,,1500000,,22,8,N,N,N,Y,N,N,N,N,S,Not_Primary,84.9,Y,Y
Bertassoni et al. 2014,10.1088/1758-5082/6/2/024105,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,2,,,0,500,466.6,,1500000,,22,8,N,N,N,Y,N,N,N,N,S,Not_Primary,74.9,N,N
Das et al. 2015,10.1016/j.actbio.2014.09.023,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1,,,0,250,319.21,700,3500000,28,18,1,Y,Y,N,N,Y,N,Y,N,S,Primary,96.2,Y,Y
Das et al. 2015,10.1016/j.actbio.2014.09.023,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1,,,0,250,334.34,700,3500000,28,18,7,Y,Y,N,N,Y,N,Y,N,S,Primary,95.2,Y,Y
Das et al. 2015,10.1016/j.actbio.2014.09.023,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1,,,0,250,527.77,700,3500000,28,18,14,Y,Y,N,N,Y,N,Y,N,S,Primary,90.1,Y,Y
Das et al. 2015,10.1016/j.actbio.2014.09.023,0,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,1,,,0,250,517.29,700,3500000,28,18,30,Y,Y,N,N,Y,N,Y,N,S,Primary,86.7,Y,Y
Chung et al. 2013,10.1039/C3BM00012E,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,600,0,55.16,1.666666667,,,0,200,,1040,500000,5,25,0.041666667,N,N,N,Y,N,N,N,N,S,Primary,95,Y,Y
Chung et al. 2013,10.1039/C3BM00012E,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,600,0,110.32,1.666666667,,,0,200,,1040,500000,5,25,0.041666667,N,N,N,Y,N,N,N,N,S,Primary,97,Y,Y
Chung et al. 2013,10.1039/C3BM00012E,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,600,0,165.47,1.666666667,,,0,200,,1040,500000,5,25,0.041666667,N,N,N,Y,N,N,N,N,S,Primary,92,Y,Y
Chung et al. 2013,10.1039/C3BM00012E,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,600,0,55.16,1.666666667,,,0,200,,1040,500000,5,25,2,N,N,N,Y,N,N,N,N,S,Primary,95,Y,Y
Chung et al. 2013,10.1039/C3BM00012E,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,600,0,110.32,1.666666667,,,0,200,,1040,500000,5,25,2,N,N,N,Y,N,N,N,N,S,Primary,98,Y,Y
Chung et al. 2013,10.1039/C3BM00012E,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,600,0,165.47,1.666666667,,,0,200,,1040,500000,5,25,2,N,N,N,Y,N,N,N,N,S,Primary,96,Y,Y
Yin et al. 2018,10.1021/acsami.7b16059,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,625.71,750,5000000,20,3.5,0,N,Y,N,Y,N,Y,N,N,S,Primary,93.1,Y,Y
Yin et al. 2018,10.1021/acsami.7b16059,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,630.01,750,5000000,20,3.5,3,N,Y,N,Y,N,Y,N,N,S,Primary,94.7,Y,Y
Yin et al. 2018,10.1021/acsami.7b16059,0,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,713,750,5000000,20,3.5,7,N,Y,N,Y,N,Y,N,N,S,Primary,92.9,Y,Y
Yin et al. 2018,10.1021/acsami.7b16059,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,620.95,750,5000000,20,3.5,0,N,Y,N,Y,N,Y,N,N,S,Primary,92.5,Y,Y
Yin et al. 2018,10.1021/acsami.7b16059,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,682.35,750,5000000,20,3.5,3,N,Y,N,Y,N,Y,N,N,S,Primary,94.7,Y,Y
Yin et al. 2018,10.1021/acsami.7b16059,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,592.02,750,5000000,20,3.5,7,N,Y,N,Y,N,Y,N,N,S,Primary,94.4,Y,Y
